,,,,,,,,,,,
,Romaji,Hiragana/Katakana,Kanji,Traducción Español,Traducción Inglés,Ejemplo,Ejemplo en español,Ejemplo en inglés,Nota en español,Nota en inglés,Minna no Nihongo
,Nagemasu,なげます,投げます,Lanzar,Throw,,,,,,Lección 18
,Tatakimasu,たたきます,叩きます,Golpear,"Pat, tap",,,,,,Lección 18
,Hikimasu,ひきます,引きます,"Tirar, jalar",Pull,,,,,,Lección 18
,Oshimasu,おすします,押します,Empujar,Push,,,,,,Lección 18
,Magemasu,まげます,曲げます,"Doblar, flexionar",Bend,,,,,,Lección 18
,Nobashimasu,のばします,伸ばします,Extender,Extend,,,,,,Lección 18
,Korobimasu,ころびます,転びます,Caerse,Fall down,,,,,,Lección 18
,Furimuku,ふりむきます,振り向きます,Mirar atrás,Look back,,,,,,Lección 18
,[Yama ni] noborimasu, [ やまに ...] のぼります,[山に] 登ります,Subir (una montaña),"Climb, go up",,,,,,Lección 19
,[Hoteru ni] tomarimasu,[ホテルに...] とまります,[ホテルに] 泊まります,"Alojarse, hospedarse [en un hotel]",Stay [at a hotel],,,,,,Lección 19
,Sōjishimasu,そうじします,掃除します,"Asear, limpiar (una habitación)",Clean (a room),,,,,,Lección 19
,Sentakushimasu,せんたくします,洗濯します,Lavar (la ropa),Wash (clothes) / Do laundry,,,,,,Lección 19
,Renshūshimasu,れんしゅうします,練習します,Practicar,Practice,,,,,,Lección 19
,Narimasu,なります,,"Hacerse (grande, pequeño, etc.), llegar (la primavera, etc.",Become,,,,,,Lección 19
,Nemui,ねむい,眠い,Tener sueño,Sleepy,,,,,,Lección 19
,Tsuyoi,つよい,強い,Fuerte,Strong,,,,,,Lección 19
,Yowai,よわい,,Débil,Weak,,,,,,Lección 19
,Chōshigaī,ちょうしがいい,調子がいい,Estar en buenas condiciones,In good form / In good shape / Doing well,,,,,,Lección 19
,Chōshigawarui,ちょうしがわるい,調子が悪い,Estar en malas condiciones,In bad shape / Not doing well,,,,,,Lección 19
,Chōshi,ちょうし,調子,Condición (relativo al estado en que se encuentra en el momento),Condition (the state of mind you're at the moment),,,,,,Lección 19
,Gorufu,ゴルフ,,Golf (- を します : Jugal al golf),Golf (~ を します : Play golf),,,,,,Lección 19
,Pachinko,パチンコ,,Pachinko (un juego de bolitas original de Japón ~ を します : Jugar a pachinko),Pachinko (Pinball game originally from Japan ~ を します : Play pachinko),,,,,,Lección 19
,Ocha,おちゃ,お茶,Ceremonia de té,Tea ceremony,,,,,,Lección 19
,Hi,ひ,日,"Día, fecha","Day, date",,,,,,Lección 19
,Ichido,いちど,一度,Una vez,Once,,,,,,Lección 19
,Ichidomo,いちども,一度も,Nunca (se emplea con expresión negativa),"Not once, never (used with negatives)",,,,,,Lección 19
,Dandan,だんだん,段々,Poco a poco,"Gradually, little by little",,,,,,Lección 19
,Mōsugu,もうすぐ,もう直ぐ,"Dentro de poco, pronto",Soon,,,,,,Lección 19
,Okagesamade,おかげさまで,,"Gracias a usted (Para expresar agradecimiento por el apoyo espiritual. Representa matiz muy similar a ""Gracias a Dios"")","Thank you (used when expressing gratitude for the spiritual help received. Similar to ""Thank God"")",,,,,,Lección 19
,Kanpai,かんぱい,乾杯,¡Salud!,Bottoms up! / Cheers!,,,,,,Lección 19
,Jitsu wa,じつは,実は,"En realidad, a decir la verdad","Actually, to tell you the truth",,,,,,Lección 19
,Daietto,じつは,,"Diega, régimen ( ~ を します : estar a dieta)",Diet ( ~ を します : be/go on a diet),,,,,,Lección 19
,Nankaimo,なんかいも,何回も,Varias veces,Many times,,,,,,Lección 19
,Shikashi,t,,"Pero, sin embargo","But, however",,,,,,Lección 19
,Muri [na],むり[な],無理,"Excesivo, imposible","Excessive, impossible",,,,,,Lección 19
,Karadani ii,からだにいい,体にいい,Bueno para la salud,Good for one's health,,,,,,Lección 19
,Kēki,ケーキ,,Pastel,Cake,,,,,,Lección 19
,Sadō ・ Ocha,さどう ・ おちゃ,茶道 ・ お茶,Ceremonia de té,Tea ceremony,,,,,,Lección 19
,Kadō ・ Ikebana,かどう ・ いけばな,華道 ・ 生花,Arreglo floral,Flower arrangement,,,,,,Lección 19
,Shodō,しょどう,書道,Caligrafía ,Calligraphy,,,,,,Lección 19
,Kabuki,かぶき,歌舞伎,Kabuki,Kabuki,,,,,,Lección 19
,Nō,のう,能,No,Noh,,,,,,Lección 19
,Bunraku,ぶんらく,文楽,Bunraku,Bunraku,,,,,,Lección 19
,Karate,からて,空手,Karate,Karate,,,,,,Lección 19
,Manzai ・ Rakugo,まんざい ・ らくご,漫才  ・ 落語,Manzai ・ Rakugo,Manzai・Rakugo,,,,,,Lección 19
,Igo・Shogi,いご  ・ しょぎ,囲碁 ・ 将棋,Igo・shogi,Go・Shogi ,,,,,,Lección 19
,Bon odori,ぼんおどり,盆踊り,Baile de bon,Bon dance,,,,,,Lección 19
,[Biza ga] irimasu,[ビザが ~] いります ,[ビザが ~] 要ります,"Necesitar, requerir [visado] ","Need, require [a visa] ",,,,(Funciona con ga),(Used with ga),Lección 20
,Shirabemasu,しらべます,調べます,"Averiguar, investigar","Check, investigate",,,,,,Lección 20
,Naoshimasu,なおします,直します,"Reparar, arreglar, corregir","Repair, correct",,,,,,Lección 20
,Shūri shimasu,しゅうりします,修理します,"Reparar (expresión empleada relativo a vehículos, aparatos eléctricos, vivienda, etc.)","Repair (a vehicle, electronic device, household, etc.)",,,,,,Lección 20
,Denwa shimasu,でんわします,電話します,"Llamar por teléfono, telefonear","Phone, call",,,,,,Lección 20
,Boku,ぼく,僕,Yo (una expresión informal exclusiva de hombres equivalente a わたし),I (an informal equivalent of わたし used by men),,,,(Una expresión informal exclusiva de hombres equivalente a わたし),(An informal equivalent of わたし used by men),Lección 20
,Kimi,きみ,君,Tú (una expresión informal exclusiva de hombres equivalente a あなた),You (an informal equivalent of あなた used by men),,,,(Una expresión informal exclusiva de hombres equivalente a あなた),(An informal equivalent of あなた used by men),Lección 20
,~ kun,~ くん,,Sr. (sufijo informal equivalente a -さん empledo por hombres),Mr. (an informal equivalent of -さん used by men),,,,(Sufijo informal equivalente a -さん empledo por hombres),(An informal equivalent of -さん used by men),Lección 20
,Un,うん,,Sí (expresión informal equivalente a はい),Yes (an informal equivalent はい),,,,(Expresión informal equivalente a はい),(An informal equivalent はい),Lección 20
,Ūn,ううん,,No (expresión informal equivalente a いいえ),No (an informal equivalent of いいえ),,,,(Expresión informal equivalente a いいえ),(An informal equivalent of いいえ),Lección 20
,Sararīman,サラリーマン,,"Asalariado, Trabajador en oficinas","Salaried worker, office worker",,,,,,Lección 20
,Kotoba,ことば,言葉,"Palabra, lenguaje, idiom","Word, language",,,,,,Lección 20
,Bukka,ぶっか,物価,Precio (de bienes),Commodity prices,,,,,,Lección 20
,Kimono,きもの,着物,Kimono (traje tradicional de Japón),Kimono (traditional Japanese attire),,,,,,Lección 20
,Viza,ビザ,,"Visa, visado",Visa,,,,,,Lección 20
,Hajime,はじめ,初め,Comienzo,The beginning,,,,,,Lección 20
,Owari,おわり,終わり,Fin,The end,,,,,,Lección 20
,Kocchi,こっち,,"Aquí, acá (expresión informal de こちら)","This way, this place (an informal equivalent of こちら)",,,,(Expresión informal de こちら),(An informal equivalent of こちら),Lección 20
,Socchi,そっち,,Ahí (expresión informal de そちら),"This way, that place (an informal equivalent of そちら)",,,,(Expresión informal de そちら),(An informal equivalent of そちら),Lección 20
,Acchi,あっち,,Allí (expresión informal de あちら),"This way, that place over there (an informal equivalent of あちら)",,,,(Expresión informal de あちら),(An informal equivalent of あちら),Lección 20
,Docchi,どっち,,"Cuál, dónde (expresión informal de どちら)","Which one (between two things), which way, where (an informal equivalent of どちら)",,,,(Expresión informal de どちら),(An informal equivalent of どちら),Lección 20
,Konoaida,このあいだ,この間,El otro día,The other day,,,,,,Lección 20
,Minna de,みんなで,,Todos juntos (relativo sólo a gente),All together,,,,,,Lección 20
,~ kedo,~ けど,,"~, pero (expresión informal equivalente a が)",~ but (an informal equivalent of が),,,,,,Lección 20
,Kuni he kaeru no?,くにへかえるの,国へ帰るの,¿Vas a regresar a tu país?,Are you going back to your country?,,,,,,Lección 20
,Dō soru no?,どうするの,,¿Qué vas a hacer?,What will you do?,,,,,,Lección 20
,Dō shiyou ka na?,どうしようかな,,¿Qué haré?,What shall I do?,,,,,,Lección 20
,Yokattara,よかったら,,Si le apetece,If you like,,,,,,Lección 20
,Iro iro,いろいろ,,Diversos/Diversas (empleado como adverbio),Various,,,,,,Lección 20
,Omoimasu,おもいます,思います,"Pensar, creer",Think,,,,,,Lección 21
,Īmasu,いいます,言います,Decir,Say,,,,,,Lección 21
,Tarimasu,たります,足ります,Ser suficiente,"Be enough, be sufficient",,,,,,Lección 21
,Kachimasu,かちます,勝ちます,Ganar,Win,,,,,,Lección 21
,Makemasu,まけます,負けます,"Perder (el partido etc.), ser derrotado","Lose, be beaten",,,,,,Lección 21
,Arimasu [omatsuriga~],[おまつりが~] あります,[お祭りが~] あります,"Celebrarse, tener lugar [el festival]","[A festival] be held, take place",,,,,,Lección 21
,Yakuni tachimasu,やくに　たちます,役に立ちます,Ser útil,Be useful,,,,,,Lección 21
,Oda [na],おだ　[な],,"Desperdiciar, malgastar",Wasteful,,,,,,Lección 21
,Fuben [na],ふべん　[な],不便　な,Inconveniente,Inconvenient,,,,,,Lección 21
,Ōnaji,おおなじ,同じ,"Igual, mismo",The same,,,,,,Lección 21
,Sugoi,すごい,,"Horroroso, maravilloso (expresión de asombro o admiración)","Awful, great (expresses atonishment or admiration)",,,,,,Lección 21
,Shushō	,しゅしょう,首相,Primer Ministro,Prime minister,,,,,,Lección 21
,Daitōryō	,だいとうりょう,大統領,Presidente de un país,President,,,,,,Lección 21
,Seiji,せいじ,政治,Política,Politics,,,,,,Lección 21
,Nyūsu,ニュース,,Noticia,News,,,,,,Lección 21
,Supīte,スピーチ,,Discurso (~をします:pronunciar un discurso),Speech (~をします: make a speech),,,,,,Lección 21
,Shiai,しあい,試合,Partido,"Game, match",,,,,,Lección 21
,Aribaito,アリバイト,,Trabajo eventual/subsidiario (suele referirse al trabajo de contrato eventual que realizan estudiantes o asalariados v.g. ~ をします: hacer trabajo eventual),Side job ( It's usually the type of job that students or salaried employees have. ~ をします: work part time),,,,,,Lección 21
,Iken,いけん,意見,Opinión,Opinion,,,,,,Lección 21
,[O] hanashi,[お]　はなし,お　話,"Discurso , cuento, lo que uno dice (~をします: hablar sobre algo)","Talk, speech, what one says, story (~をします: talk, tell a story)",,,,,,Lección 21
,Yūmoa,ユーモア,,Sentido de humor,humor,,,,,,Lección 21
,Muda,むだ,,Desperdicio,Waste,,,,,,Lección 21
,Dezain,デザイン,,Diseño,Design,,,,,,Lección 21
,Kōtsū,こうつう,交通,"Transporte, tráfico","Transportation, traffic",,,,,,Lección 21
,Rasshu,ラッシュ,,"Hora punta, hora pico",Rush hour,,,,,,Lección 21
,Saikin,さいきん,最近,"Últimamente, estos días","Recently, these days",,,,,,Lección 21
,Tabun,たぶん,,"Probablemente, quizás, tal vez","Probably, perhaps, maybe",,,,,,Lección 21
,Kitto,きっと,,Sin falta,Surely,,,,,,Lección 21
,Hontōni,ほんとうに,,Realmente,Really,,,,,,Lección 21
,Sonnani,そんなに,,No tan (se emplea junto con expresión negativa),Not so much (used with negatives),,,,,,Lección 21
,~ ni tsuite,~に　ついて,,Sobre~,"About ~, concerning ~",,,,,,Lección 21
,Shikataga arimasen.,しかたが　ありません。,,No hay remedio.,There is no other choice. / It can't be helped,,,,,,Lección 21
,Shibarakudesune.,しばらくですね。,,¡Hace tanto tiempo (sin vernos)!,It's been a long time (since I last saw you) / Long time no see,,,,,,Lección 21
,~ demo nomimasenka.,~でも　のみませんか。,~でも　飲みませんか,¿Qué le parece si tomamos~? (el uso de implica que ~でも es una de dos o más alternativas probables),How about drinking ~ or something?,,,,,,Lección 21
,Minaito....,みないと。。。。,見ないと。。。。,Tengo que verlo.,I've got to watch it.,,,,,,Lección 21
,Mochiron,もちろん,,"Naturalmente, por supuesto",Of course,,,,,,Lección 21
,Kangarū,カンガルー,,Canguro,Kangaroo,,,,,,Lección 21
,Todōfuken,とどうふけん,都道府県,Prefectura,Prefecture,,,,,,Lección 21
,Shi,し,市,Ciudad,City,,,,,,Lección 21
,Mura,むら,村,Aldea,Village,,,,,,Lección 21
,Shushō・ Naikakusōri daijin,しゅしょう・ ないかくそうりだいじん,首相・ 内閣総理大臣,Primer Ministro,Prime minister,,,,,,Lección 21
,Chiji,ちじ,知事,Gobernador,Governor,,,,,,Lección 21
,Shichō,しちょう,市長,Alcalde,Mayor,,,,,,Lección 21
,Chōchō,ちょうちょう,町長,Alcalde,Town headman,,,,,,Lección 21
,Sonchō,そんちょう,村長,Alcalde,Village headman,,,,,,Lección 21
,Kōtōgakkō,こうとうがっこう,高等学校,"Bachiller, escuela secundaria superior",Senior high school,,,,,,Lección 21
,Kōchō,こうちょう,校長,Rector,Principal,,,,,,Lección 21
,Enchō,えんちょう,園長,Director,Director,,,,,,Lección 21
,Gakuchō,がくちょう,学長,Rector,President of the class,,,,,,Lección 21
,Kaichō,かいちょう,会長,Presidente del directorio,,,,,,,Lección 21
,Shachō,しゃちょう,社長,"Presidente de empresa, Gerente general",,,,,,,Lección 21
,Jūyaku,じゅうやく,重役,Miembro del directorio,,,,,,,Lección 21
,Tōdori,とうどり,頭取,"Presidente, gobernador",,,,,,,Lección 21
,Ekichō,えきちょう,駅長,Gerente de sucursal,,,,,,,Lección 21
,,,,Jefe de estación,,,,,,,Lección 21
,,,,Hospital,,,,,,,Lección 21
,,,,Director del hospital,,,,,,,Lección 21
,,,,Director adjunto,,,,,,,Lección 21
,,,,Jefa de enfermeras,,,,,,,Lección 21
,,,,Comisaría,,,,,,,Lección 21
,,,,Jefe de comisaría,,,,,,,Lección 21
,Kimasu [Shatsuwo~],きます　[シャツを~],着ます,"Ponerse [camiseta, etc.] (este verbo se emplea para con la ropa que se pone en el torso)",,,,,,,Lección 22
,Hakimasu [kutsuwo~],はきます　[くつを~],[靴を~],"Ponerse [calzados, pantalones, etc.] (se emplea para con la ropa para la parte inferior del cuerpo)",,,,,,,Lección 22
,Kaburimasu [bōshiwo~],かぶります　[ぼうしを~],[帽子を~],"Ponerse [sombrero, etc.]",,,,,,,Lección 22
,Kakemasu [meganewo~],かけます　[めがねを~],[眼鏡を~],Ponerse [gafas],,,,,,,Lección 22
,Umaremasu,うまれます,生まれます,Nacer,,,,,,,Lección 22
,Kōto,コート,,"Abrigo, sobretodo",,,,,,,Lección 22
,Sūshi,スーツ,,Traje,,,,,,,Lección 22
,Sētā,セーター,,"Suéter, pulóver, jersey",,,,,,,Lección 22
,Bōshi,ぼうし,帽子,"Sombrero, gorra",,,,,,,Lección 22
,Megane,めがね,眼鏡,"Gafas, lentes, anteojos",,,,,,,Lección 22
,Yoku,よく,,Frecuentemente,,,,,,,Lección 22
,Omedetō gozaimasu,おめでとう　ございます,,"¡Felicitaciones!/ ¡Enhorabuena!/ ¡Feliz~! (se emplea para felicitar la boda, cumpleaños, Año Nuevo, etc)",,,,,,,Lección 22
,Kochira,こちら,,"Esto, éste, ésta (expresión cortés equivalente a これ)",,,,,,,Lección 22
,Yachin,やちん,家賃,Alquiler de casa (relativo al importe de dinero),,,,,,,Lección 22
,Ūn.,うーん。,,Déjeme ver... (se pronuncia al estar pensando qué decir),,,,,,,Lección 22
,Dainingukiten,ダイニングキチン,,Cocina-comedor,,,,,,,Lección 22
,Washitsu,わしつ,和室,Habitación al estilo japonés,,,,,,,Lección 22
,Oshīre,おしいれ,押し入れ,Armario al estilo japonés,,,,,,,Lección 22
,Futon,ふとん,布団,Colchón y cobija al estilo japonés,,,,,,,Lección 22
,Apāto,アパート,,"Apartamento, piso",,,,,,,Lección 22
,Pari,パリ,,París,,,,,,,Lección 22
,Banrino chōjō,ばんりの　ちょうじょう,万里の長城,La Gran Muralla,,,,,,,Lección 22
,Yokagaihatsu,よかがいはつ,余暇外発センター,Centro de Desarrollo de Actividades de Ocio,,,,,,,Lección 22
,Rejāhakusho,レジャーはくしょ,レジャー白書,Libro blanco sobre ocio,,,,,,,Lección 22
,Ifuku,いふく,衣服,Ropa,,,,,,,Lección 22
,Sūtsu,スーツ,,Traje,,,,,,,Lección 22
,Wanpīsu,ワンピース,,Vestido,,,,,,,Lección 22
,Uwagi,うわぎ,上着,"Chaqueta, saco",,,,,,,Lección 22
,Zupon / Pantsu,ズポン / パンツ,,Pantalones,,,,,,,Lección 22
,Jīnzu,ジーンズ,,Pantalones Vaqueros,,,,,,,Lección 22
,Sukāto,スカート,,Falda,,,,,,,Lección 22
,Burausu,ブラウス,,Blusa,,,,,,,Lección 22
,Waishatsu,ワイシャツ,,Camisa,,,,,,,Lección 22
,Sētā,セーター,,"Suéter, pulóver, jersei",,,,,,,Lección 22
,Mafurā,マフラー,,Bufanda,,,,,,,Lección 22
,Tebukuro,てぶくろ,手袋,Guantes,,,,,,,Lección 22
,Shitagi,したぎ,下着,Ropa interior,,,,,,,Lección 22
,Kutsushita,くつした,,Calcetines,,,,,,,Lección 22
,Pansuto,パンスト,,Medias,,,,,,,Lección 22
,Ōbākōto,オーバーコート,,"Abrigo, sobretodo",,,,,,,Lección 22
,Reinkōto,レインコート,,"Impermeable, piloto",,,,,,,Lección 22
,Nekutai,ネクタイ,,Corbata,,,,,,,Lección 22
,Beruto,ベルト,,Cinturón,,,,,,,Lección 22
,Haihīru,ハイヒール,,Zapatos con tacón,,,,,,,Lección 22
,Būtsu,ブーツ,,Botas,,,,,,,Lección 22
,Undōgutsu,うんどうぐつ,運動靴,Zapatillas de deporte,,,,,,,Lección 22
,Kimono,きもの,着物,Kimono,,,,,,,Lección 22
,Obi,おび,帯,Obi (faja para el kimono),,,,,,,Lección 22
,Zōri,ぞうり,,Zori (zapatillas/chancletas japonesas),,,,,,,Lección 22
,Tabi,たび,,Tabi (calcetines japoneses),,,,,,,Lección 22
,Kikimasu [senseini~],ききます　[せんせいに~],聞きます　[先生に~],Preguntar [al profesor],,,,,,,Lección 23
,Mawashimasu,まわします,回します,Girar,,,,,,,Lección 23
,Hikimasu,ひきます,引きます,"Tirar, jalar (la puerta)",,,,,,,Lección 23
,Kaemasu,かえます,変えます,Cambiar,,,,,,,Lección 23
,Sawarimasu [doani~],さわります　[ドアに~],触ります,Tocar [una puerta],,,,,,,Lección 23
,Demasu [otsuriga~],でます　[おつりが~],出ます　[お釣りが~],Salirse [el cambio],,,,,,,Lección 23
,Ugokimasu [tokeiga~],うごきます　[とけいが~],動きます　[時計が~],"Mover, funcionar [reloj]",,,,,,,Lección 23
,Arukimasu [michiwo~],あるきます　[みちを~],歩きます　[道を~],Caminar [por la calle],,,,,,,Lección 23
,Watarimasu [hashiwo~],わたります　[はしを~],渡ります　[橋を~],Cruzar [un puente],,,,,,,Lección 23
,Kiwo tsukemasu [kurumani~],きを　つけます　[くるまに~],気を　つけます　[車に~],"Prestar atención [a vehículos], cuidar",,,,,,,Lección 23
,Hikkoshishimasu,ひっこしします,引越しします,"Mudar, trasladarse de casa",,,,,,,Lección 23
,Denkiya,でんきや,電気屋,Electricista,,,,,,,Lección 23
,~ya,~や,~屋,Persona de negocio de ~,,,,,,,Lección 23
,Saizu,サイズ,,"Tamaño, talla",,,,,,,Lección 23
,Oto,おと,音,Sonido,,,,,,,Lección 23
,Kikai,きかい,機械,Máquina,,,,,,,Lección 23
,Tsumami,つまみ,,"Botón (de radio, televisor, etc.)",,,,,,,Lección 23
,Koshō,こしょう,故障,"Avería, descomposición (~します:descomponerse)",,,,,,,Lección 23
,Michi,みち,道,Camino,,,,,,,Lección 23
,Kōsaten,こうさてん,交差点,Cruce de camino,,,,,,,Lección 23
,Shingō,しんごう,信号,Semáforo,,,,,,,Lección 23
,Kado,かど,角,Esquina,,,,,,,Lección 23
,Hashi,はし,橋,Puente,,,,,,,Lección 23
,Chūshajō,ちゅうしゃじょう,駐車場,"Parque de estacionamiento, aparcamiento",,,,,,,Lección 23
,ーme,ーめ,ー目,el/la -o/a (indica el orden),,,,,,,Lección 23
,[o] shōgatsu,[お]　しょうがつ,[お]　正月,Año Nuevo,,,,,,,Lección 23
,Gochisōsama [deshita],ごちそうさま　[でした],,Muchas gracias por la comida/bebida (expresión pronunciada al terminar de comer o beber),,,,,,,Lección 23
,Tatemono,たてもの,建物,Edificio,,,,,,,Lección 23
,Gaikokujintōrokushō,がいこくじんとうろくしょう,外国人登録証,Carnet de Registro de Extranjeros,,,,,,,Lección 23
,Shōtokutaishi,しょうとくたいし,聖徳太子,Principe Shotoku (574-622),,,,,,,Lección 23
,Hōryūji,ほうりゅうじ,法隆寺,Templo Horyuji,,,,,Un templo budista en la Prefectura de Nara construído por el Principe Shotoku a comienzos del Siglo VII,,Lección 23
,Genkicha,げんきちゃ,元気茶,Marca de té ficticia,,,,,,,Lección 23
,Hondaeki,ほんだえき,本田駅,Estación de tren ficticia,,,,,,,Lección 23
,Toshokanmae,としょかんまえ,図書館前,Parada de bus ficticia,,,,,,,Lección 23
,Dōro,どうろ,道路,Carretera,,,,,,,Lección 23
,Kōtsū,こうつう,交通,Tráfico,,,,,,,Lección 23
,Hodō,ほどう,歩道,"Andén, vereda",,,,,,,Lección 23
,Shadō,しゃどう,車道,Calzada,,,,,,,Lección 23
,Kōsokudōro,こうそくどうろ,高速道路,Autopista,,,,,,,Lección 23
,Tōri,とおり,通り,Calle,,,,,,,Lección 23
,Kōsaten,こうさてん,交差点,Cruce,,,,,,,Lección 23
,Ōdanhodō,おうだんほどう,横断歩道,Cruce de peatones,,,,,,,Lección 23
,Hodōkyō,ほどうきょう,歩道橋,Puente peatonal,,,,,,,Lección 23
,Kado,かど,角,Esquina,,,,,,,Lección 23
,Shingō,しんごう,信号,Semáforo,,,,,,,Lección 23
,Saka,さか,坂,Cuesta,,,,,,,Lección 23
,Fumikiri,ふみきり,踏切,Cruce de ferrocarril,,,,,,,Lección 23
,Gasorinsutando,ガソリンスタンド,,Gasolinera,,,,,,,Lección 23
,Tomare,とまれ,止まれ,Detengase,,,,,,,Lección 23
,Shinnyūkinshi,しんにゅうきんし,進入禁止,Prohibido entrar,,,,,,,Lección 23
,Ippōtsūkō,いっぽうつうこう,一方通行,Unidirectional,,,,,,,Lección 23
,Chūshakinshi,ちゅうしゃきんし,駐車禁止,Prohibido estacionar,,,,,,,Lección 23
,Usetsukinshi,うせつきんし,右折禁止,Prohibido doblar a la derecha,,,,,,,Lección 23
,Kuremasu,くれます,,Dar (me),,,,,,,Lección 24
,Tsurete ikimasu,つれて　いきます,連れて　行きます,Llevar (a alguien),,,,,,,Lección 24
,Tsurete kimasu,つれて　きます,連れて　来ます,Traer (a alguien),,,,,,,Lección 24
,Okurimasu [hitowo],おくります　[ひとを],送ります　[人を~],"Acompañar [a alguien] (hasta casa, estación, etc.)",,,,,,,Lección 24
,Shōkaishimasu,しょうかいします,紹介します,Presentar (a alguien),,,,,,,Lección 24
,Anaishimasu,あんあいします,案内します,"Guiar por, indicar el camino",,,,,,,Lección 24
,Setsumeishimasu,せつめいします,説明します,Explicar,,,,,,,Lección 24
,Iremasu [kōhīwo~],いれます [コーヒーを~],,Preparar [café],,,,,,,Lección 24
,Ojīsan/ojīchashi,おじいさん／おじいちゃし,,"Abuelo, anciano",,,,,,,Lección 24
,Obāsan/obāchan,おばあさん／おばあちゃん,,"Abuela, anciana",,,,,,,Lección 24
,Junbi,じゅんび,準備,Preparación (:preparar),,,,,,,Lección 24
,Imi,いみ,意味,"Significado, sentido",,,,,,,Lección 24
,[o]kashi,[お]かし,[お]菓子,"Dulces, golosina",,,,,,,Lección 24
,Zenbu,ぜんぶ,全部,Todo,,,,,,,Lección 24
,Jibunde,じぶんで,自分で,Solo/a,,,,,,,Lección 24
,Hokani,ほかに,,"Además, aparte",,,,,,,Lección 24
,Wagonsha,ワゴンしゃ,ワゴン車,Furgoneta,,,,,,,Lección 24
,[o] bentō,[お]　べんとう,[お]　弁当,"Merienda, comida en caja portátil",,,,,,,Lección 24
,wawano hi,ははの　ひ,母の日,Día de la Madre,,,,,,,Lección 24
,,,,,,,,,,,Lección 24
,Kangaemasu,かんがえます,考えます,"Pensar, considerar, opinar",,,,,,,Lección 25
,Tsukimasu [ekini~],つきます　[えきに~],着きます　[駅に~],Llegar [a la estación],,,,,,,Lección 25
,Ryūgakushimasu,りゅうがくします,留学します,Estudiar en el extranjero,,,,,,,Lección 25
,Torimasu [toshiwo~],とります　[としを~],取ります　[年を~],Envejecer,,,,,,,Lección 25
,Inaka,いなか,田舎,"Zona rural, pueblo natal",,,,,,,Lección 25
,Taishikan,たいしかん,大使館,Embajada,,,,,,,Lección 25
,Gurūpu,グループ,,Grupo,,,,,,,Lección 25
,Chansu,チャンス,,Oportunidad,,,,,,,Lección 25
,Oku,おく,送,Cien millones,,,,,,,Lección 25
,Moshi [~tara],もし　[~たら],,Si ~,,,,,,,Lección 25
,Ikura [~temo],いくら　[~ても],,"Pese a~, aunque ~",,,,,,,Lección 25
,Tenkin,てんきん,転勤,Rotación intraempresarial (~:ser trasladado),,,,,,,Lección 25
,Koto,こと,,"Cosa, asunto (~: asunto sobre~)",,,,,,,Lección 25
,Ibbai nomimoshō.,いっばい　のみもしょう。,ー杯　飲みもしょう。,¡Vamos a tomar una copa!,,,,,,,Lección 25
,[iroiro] osewani narimashita.,[いろいろ] おせわに　なりました。,[いろいろ]　お世話に　なりました。,Muchas gracias por todo.,,,,,,,Lección 25
,Ganbarimasu,がんばります,頑張ります,Haré lo mejor,,,,,,,Lección 25
,Dōzo ogenkide.,どうぞ　おげんきで。,どうぞ　お元気で。,Que siga bien.(se pronuncia al despedirse sabiendo que tardará mucho antes de volver a verse),,,,,,,Lección 25
,Hitonoisshō,ひとのいっしょう,人の一生,La vida,,,,,,,Lección 25
,Umaremasu,うまれます,生まれます,Nacer,,,,,,,Lección 25
,Akachan,あかちゃん,赤ちゃん,Bebé,,,,,,,Lección 25
,Kodomo,こども,子ども,"Adolescente, niño",,,,,,,Lección 25
,Seinen,せいねん,青年,Joven,,,,,,,Lección 25
,Tandai,たんだい,短大,Semi-universidad,,,,,,,Lección 25
,Senmongakkō,せんもんがっこう,専門学校,Escuela profesional,,,,,,,Lección 25
,Daigaton,だいがとん,大学院,Curso posgraduado,,,,,,,Lección 25
,Shūshokushimasu,しゅうしょくします,就職します,"Conseguir un trabajo, ingresar la fuerza laboral",,,,,,,Lección 25
,Kodomogaumaremasu,こどもがうまれます,子どもが生まれます,"Tener hijos, nacer hijos",,,,,,,Lección 25
,Rikonshimasu,りこんします,離婚します,Divorciarse,,,,,,,Lección 25
,Saikonshimasu,さいこんします,再婚します,Volver a casarse,,,,,,,Lección 25
,Chūnen,ちゅうねん,中年,Segunda edad,,,,,,,Lección 25
,Shigotowoyamasu,しごとをやます,仕事をやめます,"Dejar de trabajar, retirarse, jubilarse",,,,,,,Lección 25
,Rōjin,ろうじん,老人,Tercera edad,,,,,,,Lección 25
,Shinimasu,しにます,死にます,Morir,,,,,,,Lección 25
